trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,0,-107.09069310326713,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",20,0,0.16874137817706147,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",35,0,-77.93821543170672,"{0: 22, 1: 4, 2: 9, 3: 0, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",20,0,-164.78728662708957,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",25,0,-120.22886149569368,"{0: 11, 1: 9, 2: 3, 3: 1, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",25,10,-24.66498614827245,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",30,6,-32.584005530402884,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,1,-89.15871865467722,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 1}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",30,5,-32.66396416975806,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-49.563142945019244,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-14.116168714007095,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,8,-46.01099994932146,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",30,0,-94.24253902936721,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",25,15,7.116415587041487,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,0,-48.72395044207748,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",30,15,-114.43787416570378,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 3}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",30,12,-2.03810149781708,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",30,0,-162.37319905824404,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,7,-43.91718501420275,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-81.31791001725007,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",25,0,-100.726281851102,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681397}",20,10,-62.11221169811652,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,7,-64.29232235480661,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",25,0,-47.35022544047142,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",30,0,-12.500600240974855,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,16,-9.479150585913313,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",30,13,-110.42332830078776,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 2}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,0,-50.234552470604484,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,0,-84.01633482862354,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,0,-21.1772809109769,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,9,-6.653462173354769,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,7,-49.12073505103626,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,8,-21.40252972120952,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",25,0,29.739503179982,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,16,-14.069885260253148,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,2,9.419631524102245,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
